pays;reseau;nom;cle;N;Nobs;manquant;p60;p300;p600;dispersion;annulJour;arretsSupprJour;jours;verdict;motif
France;fr_sncf;Les Deux Jumeaux;fr_sncf|UIC87677104;12.5;1.8;86;71.4;71.4;71.4;0;1.5;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.8 < 15 , distribution degeneree : dispersion 0.0 pt
France;fr_sncf;Oissel;fr_sncf|UIC87411207;12.5;1.8;86;85.7;85.7;85.7;0;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.8 < 15 , distribution degeneree : dispersion 0.0 pt
France;fr_sncf;Dachstein;fr_sncf|UIC87214551;12.5;1.8;86;100;100;100;0;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.8 < 15 , trop parfaite : 100 % a moins de 60 s
France;fr_sncf;Bas - Monistrol;fr_sncf|UIC87726778;11.7;1.8;84;54.5;63.6;81.8;27.3;0;0;6;REJETEE;volume observe 1.8 < 15
Allemagne;de_gtfsde;;de_gtfsde|336649;11.5;1.8;85;42.9;57.1;57.1;14.3;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6 , volume observe 1.8 < 15 , ponctualite 57 % < 60 %
France;fr_sncf;Saint-Dizier;fr_sncf|UIC87175000;11.3;1.8;84;57.1;71.4;100;42.9;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.8 < 15
France;fr_sncf;Surdon;fr_sncf|UIC87444562;11.3;1.8;84;42.9;71.4;85.7;42.9;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.8 < 15
France;fr_sncf;La Garde;fr_sncf|UIC87755306;11.2;1.8;84;44.4;66.7;77.8;33.3;1;0.2;5;REJETEE;present 5 jours sur 6 , volume observe 1.8 < 15
France;fr_sncf;Toulon Sainte-Musse;fr_sncf|UIC87742262;11.2;1.8;84;33.3;66.7;77.8;44.4;1;0.2;5;REJETEE;present 5 jours sur 6 , volume observe 1.8 < 15
France;fr_sncf;Alès;fr_sncf|UIC87775288;11.2;1.8;84;55.6;66.7;66.7;11.1;0;0;5;REJETEE;present 5 jours sur 6 , volume observe 1.8 < 15
France;fr_sncf;Retournac;fr_sncf|UIC87734749;11.2;1.8;84;54.5;72.7;81.8;27.3;0;0;6;REJETEE;volume observe 1.8 < 15
France;fr_sncf;Vorey;fr_sncf|UIC87734723;11.2;1.8;84;54.5;81.8;81.8;27.3;0;0;6;REJETEE;volume observe 1.8 < 15
France;fr_sncf;Argenton-sur-Creuse;fr_sncf|UIC87597120;10.8;1.8;84;57.1;71.4;71.4;14.3;0.5;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.8 < 15
France;fr_sncf;Diemeringen;fr_sncf|UIC87215665;10.8;1.8;84;100;100;100;0;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.8 < 15 , trop parfaite : 100 % a moins de 60 s
France;fr_sncf;Logelbach;fr_sncf|UIC87182345;10.3;1.8;83;71.4;85.7;85.7;14.3;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.8 < 15
France;fr_sncf;Les Laumes - Alésia;fr_sncf|UIC87713115;9.8;1.8;82;57.1;100;100;42.9;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.8 < 15 , trop parfaite : aucun retard superieur a 5 min
France;fr_sncf;Hyères;fr_sncf|UIC87755629;9.6;1.8;81;88.9;88.9;88.9;0;0.8;0.2;5;REJETEE;present 5 jours sur 6 , volume observe 1.8 < 15 , distribution degeneree : dispersion 0.0 pt
France;fr_sncf;Alençon;fr_sncf|UIC87444711;9.3;1.8;81;57.1;57.1;71.4;14.3;0.25;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.8 < 15 , ponctualite 57 % < 60 %
France;fr_sncf;Mâcon - Loché TGV;fr_sncf|UIC87725705;8.6;1.8;79;11.1;33.3;44.4;33.3;0;0;5;REJETEE;present 5 jours sur 6 , volume observe 1.8 < 15 , ponctualite 33 % < 60 %
France;fr_sncf;Saint-Sulpice;fr_sncf|UIC87615344;8.3;1.8;79;14.3;57.1;57.1;42.9;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.8 < 15 , ponctualite 57 % < 60 %
France;fr_sncf;Castelnau-d'Estrétefonds;fr_sncf|UIC87611665;8.3;1.8;79;57.1;71.4;71.4;14.3;0.5;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.8 < 15
France;fr_sncf;Mehun-sur-Yèvre;fr_sncf|UIC87576116;8.3;1.8;79;100;100;100;0;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.8 < 15 , trop parfaite : 100 % a moins de 60 s
France;fr_sncf;Mont-Dauphin - Guillestre;fr_sncf|UIC87763508;8;1.8;78;42.9;71.4;71.4;28.6;0;0.25;4;REJETEE;present 4 jours sur 6 , volume observe 1.8 < 15
France;fr_sncf;Chamalières-sur-Loire;fr_sncf|UIC87734731;7.8;1.8;77;55.6;88.9;88.9;33.3;0;0;5;REJETEE;present 5 jours sur 6 , volume observe 1.8 < 15
France;fr_sncf;Pontanevaux;fr_sncf|UIC87725721;7.8;1.8;77;71.4;71.4;71.4;0;0;0.5;4;REJETEE;present 4 jours sur 6 , volume observe 1.8 < 15 , distribution degeneree : dispersion 0.0 pt
France;fr_sncf;Souillac;fr_sncf|UIC87594333;7.5;1.8;77;42.9;57.1;71.4;28.6;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.8 < 15 , ponctualite 57 % < 60 %
France;fr_sncf;Gaillac;fr_sncf|UIC87615252;7.3;1.8;76;28.6;57.1;57.1;28.6;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.8 < 15 , ponctualite 57 % < 60 %
France;fr_sncf;Lisle-sur-Tarn;fr_sncf|UIC87615310;6.8;1.8;74;28.6;71.4;71.4;42.9;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.8 < 15
France;fr_sncf;Les Abrets - Fitilieu;fr_sncf|UIC87741496;3.8;1.8;53;28.6;71.4;71.4;42.9;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.8 < 15
Australie;au_translink_seq;Cooran station;au_translink_seq|cooranstation@-26.33,152.82;3.5;1.8;50;85.7;100;100;14.3;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.8 < 15 , trop parfaite : aucun retard superieur a 5 min
Australie;au_translink_seq;Pomona station;au_translink_seq|pomonastation@-26.37,152.86;3.5;1.8;50;100;100;100;0;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.8 < 15 , trop parfaite : 100 % a moins de 60 s
Australie;au_translink_seq;Cooroy station;au_translink_seq|cooroystation@-26.42,152.91;3.5;1.8;50;100;100;100;0;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.8 < 15 , trop parfaite : 100 % a moins de 60 s
France;fr_sncf;Saint-Joseph le Castellas;fr_sncf|UIC87759316;17.8;1.7;91;70;90;100;30;0.17;0;6;REJETEE;volume observe 1.7 < 15
France;fr_sncf;Aurec;fr_sncf|UIC87726760;11.2;1.7;85;70;70;90;20;0;0;6;REJETEE;volume observe 1.7 < 15
France;fr_sncf;Saint-Nazaire;fr_sncf|UIC87481705;14.6;1.6;89;37.5;75;75;37.5;0;0;5;REJETEE;present 5 jours sur 6 , volume observe 1.6 < 15
France;fr_sncf;Évreux Normandie;fr_sncf|UIC87387001;12.4;1.6;87;50;75;75;25;0.2;0;5;REJETEE;present 5 jours sur 6 , volume observe 1.6 < 15
France;fr_sncf;Saint-Paul-de-Varax;fr_sncf|UIC87723783;12.2;1.6;87;75;87.5;100;25;0;0;5;REJETEE;present 5 jours sur 6 , volume observe 1.6 < 15
France;fr_sncf;Lyon Saint-Exupéry TGV;fr_sncf|UIC87762906;11.8;1.6;86;12.5;62.5;75;62.5;0.2;0;5;REJETEE;present 5 jours sur 6 , volume observe 1.6 < 15
France;fr_sncf;Montbard;fr_sncf|UIC87713131;11;1.6;85;37.5;75;87.5;50;0;0;5;REJETEE;present 5 jours sur 6 , volume observe 1.6 < 15
France;fr_sncf;Quimperlé;fr_sncf|UIC87476317;10.4;1.6;85;75;87.5;87.5;12.5;0;0;5;REJETEE;present 5 jours sur 6 , volume observe 1.6 < 15
France;fr_sncf;Dole;fr_sncf|UIC87713412;7;1.6;77;62.5;75;75;12.5;0;0;5;REJETEE;present 5 jours sur 6 , volume observe 1.6 < 15
France;fr_sncf;Langeac;fr_sncf|UIC87734319;6.8;1.6;76;25;50;100;75;0;0;5;REJETEE;present 5 jours sur 6 , volume observe 1.6 < 15 , ponctualite 50 % < 60 %
France;fr_sncf;Mer;fr_sncf|UIC87574194;19.3;1.5;92;83.3;83.3;83.3;0;0.25;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.5 < 15 , distribution degeneree : dispersion 0.0 pt
France;fr_sncf;Le Croisic;fr_sncf|UIC87481788;15.8;1.5;90;83.3;83.3;100;16.7;0;0.5;4;REJETEE;present 4 jours sur 6 , volume observe 1.5 < 15
France;fr_sncf;Kehl;fr_sncf|UIC80142927;15.5;1.5;90;66.7;66.7;83.3;16.7;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.5 < 15
France;fr_sncf;Nogent-sur-Seine;fr_sncf|UIC87118190;14.8;1.5;90;100;100;100;0;0;0;4;REJETEE;present 4 jours sur 6 , volume observe 1.5 < 15 , trop parfaite : 100 % a moins de 60 s
