pays;reseau;nom;cle;N;Nobs;manquant;p60;p300;p600;dispersion;annulJour;arretsSupprJour;jours;verdict;motif
Etats-Unis;us_mta_lirr;;us_mta_lirr|55;29.4;21.8;26;56;89;99.1;43.1;0.2;0;5;REJETEE;identite non resolue , present 5 jours sur 6
Etats-Unis;us_mta_lirr;;us_mta_lirr|183;28.8;21.8;24;40.2;90.8;100;59.8;0.75;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Etats-Unis;us_mta_mnr;;us_mta_mnr|24;62.2;21.7;65;56.2;93.8;100;43.8;0;0;6;REJETEE;identite non resolue
Allemagne;de_gtfsde;;de_gtfsde|663923;74.5;21.5;71;84.9;96.5;100;15.1;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Etats-Unis;us_mta_mnr;;us_mta_mnr|80;61.3;21.5;65;49.6;88.4;96.1;46.5;0;0;6;REJETEE;identite non resolue
Allemagne;de_gtfsde;;de_gtfsde|515396;58;21.5;63;96.5;100;100;3.5;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6 , trop parfaite : aucun retard superieur a 5 min
Allemagne;de_gtfsde;;de_gtfsde|638451;54.8;21.5;61;46.5;75.6;86;39.5;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|523731;49;21.5;56;36;68.6;90.7;54.7;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|386789;47.8;21.5;55;48.8;81.4;89.5;40.7;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|571564;45.3;21.5;52;82.6;100;100;17.4;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6 , trop parfaite : aucun retard superieur a 5 min
Allemagne;de_gtfsde;;de_gtfsde|559557;41.5;21.5;48;54.7;82.6;94.2;39.5;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|31426;37.3;21.5;42;96.5;98.8;100;3.5;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6 , ponctualite 99 % > 98 %
Allemagne;de_gtfsde;;de_gtfsde|434268;35.3;21.5;39;97.7;98.8;100;2.3;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6 , ponctualite 99 % > 98 %
Allemagne;de_gtfsde;;de_gtfsde|405319;34.5;21.5;38;65.1;91.9;94.2;29.1;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Pays-Bas;nl_ovapi;Lansingerland-Zoetermeer;nl_ovapi|lansingerlandzoetermeer@52.04,4.52;30.7;21.5;30;65.9;99.2;100;34.1;0;0;6;REJETEE;ponctualite 99 % > 98 %
Pays-Bas;nl_ovapi;Tiel;nl_ovapi|tiel@51.89,5.42;32.6;21.4;34;57.9;80.4;95.3;37.4;0.2;0;5;REJETEE;present 5 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|569172;74.5;21.3;71;78.8;96.5;97.6;18.8;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|583761;46;21.3;54;49.4;87.1;95.3;45.9;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|23981;44.5;21.3;52;65.9;94.1;96.5;30.6;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|634559;37.3;21.3;43;27.1;75.3;94.1;67.1;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;Immenreuth;de_gtfsde|immenreuth@49.91,11.87;35.5;21.3;40;70.6;96.5;100;29.4;0;0;4;REJETEE;present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|455526;31.5;21.3;33;28.2;52.9;67.1;38.8;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6 , ponctualite 53 % < 60 %
Etats-Unis;us_mta_lirr;;us_mta_lirr|92;38.4;21.2;45;49.1;83;95.3;46.2;0;0;5;REJETEE;identite non resolue , present 5 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|640485;49.8;21;58;46.4;79.8;89.3;42.9;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|480696;41.5;21;49;61.9;79.8;92.9;31;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|581739;39;21;46;67.9;79.8;94;26.2;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|69012;31.3;21;33;14.3;73.8;95.2;81;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|44498;31;21;32;10.7;65.5;92.9;82.1;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|20525;25.5;21;18;58.3;82.1;92.9;34.5;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|526362;89.8;20.8;77;79.5;96.4;100;20.5;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|67279;59.3;20.8;65;95.2;100;100;4.8;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6 , trop parfaite : aucun retard superieur a 5 min
Allemagne;de_gtfsde;;de_gtfsde|543897;47;20.8;56;49.4;75.9;83.1;33.7;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|30923;40.3;20.8;48;37.3;73.5;91.6;54.2;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|448771;38.5;20.8;46;53;83.1;91.6;38.6;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|51823;38.3;20.8;46;55.4;73.5;79.5;24.1;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|247110;36.8;20.8;44;68.7;98.8;100;31.3;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6 , ponctualite 99 % > 98 %
Etats-Unis;us_mbta;Readville;us_mbta|readville@42.24,-71.13;33.5;20.8;38;100;100;100;0;0;0;6;REJETEE;trop parfaite : 100 % a moins de 60 s
Allemagne;de_gtfsde;;de_gtfsde|666236;30.5;20.8;32;20.5;69.9;94;73.5;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Etats-Unis;us_mta_mnr;;us_mta_mnr|19;56.8;20.7;64;46.8;92.7;100;53.2;0;0;6;REJETEE;identite non resolue
Allemagne;de_gtfsde;;de_gtfsde|500038;51.5;20.5;60;51.2;87.8;91.5;40.2;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|104025;42.8;20.5;52;53.7;81.7;89;35.4;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|492320;39.5;20.5;48;67.1;91.5;98.8;31.7;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|587142;36;20.5;43;41.5;79.3;93.9;52.4;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Pays-Bas;nl_ovapi;Zoetermeer;nl_ovapi|zoetermeer@52.05,4.48;30.7;20.5;33;82.1;99.2;100;17.9;0;0;6;REJETEE;ponctualite 99 % > 98 %
Pays-Bas;nl_ovapi;Hurdegaryp;nl_ovapi|hurdegaryp@53.22,5.93;24.5;20.5;16;35.4;95.1;100;64.6;0;0;4;REJETEE;present 4 jours sur 6
Allemagne;de_gtfsde;Mirow;de_gtfsde|mirow@53.27,12.82;52.5;20.3;61;55.6;81.5;90.1;34.6;0;0;4;REJETEE;present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|106869;41.5;20.3;51;58;81.5;93.8;35.8;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|100988;38.5;20.3;47;60.5;88.9;93.8;33.3;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|659145;37.8;20.3;46;65.4;96.3;100;34.6;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|152053;36.8;20.3;45;28.4;56.8;80.2;51.9;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6 , ponctualite 57 % < 60 %
Allemagne;de_gtfsde;;de_gtfsde|542538;36.3;20.3;44;46.9;85.2;96.3;49.4;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|116389;33.8;20.3;40;59.3;91.4;96.3;37;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|654008;33.3;20.3;39;34.6;63;72.8;38.3;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|620730;29;20.3;30;50.6;80.2;96.3;45.7;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Pays-Bas;nl_ovapi;Beverwijk;nl_ovapi|beverwijk@52.48,4.66;30.7;20.2;34;83.5;98.3;99.2;15.7;0.17;0;6;REJETEE;ponctualite 98 % > 98 %
Allemagne;de_gtfsde;;de_gtfsde|485199;58;20;66;97.5;100;100;2.5;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6 , trop parfaite : aucun retard superieur a 5 min
Allemagne;de_gtfsde;;de_gtfsde|589564;49.3;20;59;68.8;93.8;95;26.2;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|449163;46.3;20;57;55;82.5;87.5;32.5;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|70959;45.5;20;56;12.5;58.8;86.3;73.8;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6 , ponctualite 59 % < 60 %
Etats-Unis;us_mta_lirr;;us_mta_lirr|27;41.6;20;52;51;87;96;45;1;0;5;REJETEE;identite non resolue , present 5 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|77804;37.8;20;47;67.5;85;93.8;26.2;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|222126;34.8;20;42;77.5;92.5;95;17.5;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|453131;33.5;20;40;81.3;97.5;98.8;17.5;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|226347;33.5;20;40;58.8;93.8;97.5;38.7;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|550591;32.3;20;38;51.2;88.8;100;48.8;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Etats-Unis;us_mta_lirr;;us_mta_lirr|187;30.5;20;34;41.3;90;100;58.8;0.5;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|482360;29.8;20;33;37.5;88.8;100;62.5;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|422912;43.5;19.8;55;27.8;70.9;88.6;60.8;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|155506;39.5;19.8;50;51.9;81;96.2;44.3;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|599929;38;19.8;48;34.2;75.9;91.1;57;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|223139;36.8;19.8;46;58.2;79.7;84.8;26.6;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|11786;33.8;19.8;41;20.3;44.3;54.4;34.2;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6 , ponctualite 44 % < 60 %
Allemagne;de_gtfsde;;de_gtfsde|302611;33.3;19.8;41;46.8;81;88.6;41.8;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|326469;33.3;19.8;41;41.8;91.1;97.5;55.7;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|601482;32;19.8;38;17.7;34.2;62;44.3;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6 , ponctualite 34 % < 60 %
Allemagne;de_gtfsde;;de_gtfsde|388486;31;19.8;36;53.2;93.7;96.2;43;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|590897;30.8;19.8;36;45.6;89.9;98.7;53.2;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Pays-Bas;nl_ovapi;Den Haag Ypenburg;nl_ovapi|denhaagypenburg@52.06,4.39;30.7;19.8;35;81.5;98.3;100;18.5;0;0;6;REJETEE;ponctualite 98 % > 98 %
Allemagne;de_gtfsde;;de_gtfsde|357149;30;19.8;34;30.4;43;63.3;32.9;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6 , ponctualite 43 % < 60 %
Allemagne;de_gtfsde;Böblingen;de_gtfsde|bblingen@48.69,9.00;49;19.6;60;68.4;92.9;95.9;27.6;0;0;5;REJETEE;present 5 jours sur 6
Australie;au_translink_seq;Springfield Central station;au_translink_seq|springfieldcentralstation@-27.67,152.90;65;19.5;70;79.5;98.3;98.3;18.8;0;0;6;REJETEE;ponctualite 98 % > 98 %
Allemagne;de_gtfsde;;de_gtfsde|252874;57.5;19.5;66;42.3;69.2;89.7;47.4;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|541439;42.8;19.5;54;73.1;92.3;100;26.9;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|131499;39.8;19.5;51;41;80.8;93.6;52.6;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|389370;32.3;19.5;40;44.9;85.9;96.2;51.3;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|101259;32;19.5;39;79.5;98.7;98.7;19.2;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6 , ponctualite 99 % > 98 %
Pays-Bas;nl_ovapi;Leeuwarden Camminghaburen;nl_ovapi|leeuwardencamminghaburen@53.20,5.84;23.8;19.5;18;11.5;98.7;100;88.5;0;0;4;REJETEE;present 4 jours sur 6 , ponctualite 99 % > 98 %
Pays-Bas;nl_ovapi;De Westereen;nl_ovapi|dewestereen@53.25,6.04;23.8;19.5;18;39.7;97.4;100;60.3;0;0;4;REJETEE;present 4 jours sur 6
Etats-Unis;us_mta_mnr;;us_mta_mnr|20;58.8;19.3;67;51.7;92.2;100;48.3;0;0;6;REJETEE;identite non resolue
Allemagne;de_gtfsde;;de_gtfsde|47670;52;19.3;63;94.8;98.7;98.7;3.9;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6 , ponctualite 99 % > 98 %
Allemagne;de_gtfsde;;de_gtfsde|665253;50.5;19.3;62;42.9;62.3;85.7;42.9;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|12594;31.5;19.3;39;45.5;61;83.1;37.7;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|43340;30.3;19.3;36;53.2;88.3;92.2;39;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;Quickborn Süd;de_gtfsde|quickbornsd@53.72,9.91;33;19.2;42;47.9;81.3;84.4;36.5;0;0;5;REJETEE;present 5 jours sur 6
Pays-Bas;nl_ovapi;Voorburg;nl_ovapi|voorburg@52.07,4.36;30.7;19.2;38;82.6;99.1;100;17.4;0;0;6;REJETEE;ponctualite 99 % > 98 %
Etats-Unis;us_mta_lirr;;us_mta_lirr|117;25.6;19.2;25;52.1;84.4;99;46.9;0.4;0;5;REJETEE;identite non resolue , present 5 jours sur 6
Etats-Unis;us_mta_mnr;;us_mta_mnr|78;56.5;19;66;48.2;87.7;96.5;48.2;0;0;6;REJETEE;identite non resolue
Allemagne;de_gtfsde;;de_gtfsde|198666;50;19;62;53.9;85.5;92.1;38.2;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|357257;49.3;19;61;76.3;94.7;98.7;22.4;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|516504;47.3;19;60;47.4;80.3;90.8;43.4;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|558952;46.3;19;59;75;97.4;98.7;23.7;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|521900;39;19;51;67.1;97.4;98.7;31.6;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;Calbe(Saale) West;de_gtfsde|calbesaalewest@51.91,11.76;37.5;19;49;15.8;36.8;57.9;42.1;0;0;4;REJETEE;present 4 jours sur 6 , ponctualite 37 % < 60 %
Allemagne;de_gtfsde;;de_gtfsde|571911;37;19;49;31.6;77.6;94.7;63.2;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|123348;33.8;19;44;55.3;92.1;97.4;42.1;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|628831;32.8;19;42;46.1;88.2;96.1;50;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|486726;30;19;37;31.6;82.9;90.8;59.2;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Etats-Unis;us_mta_lirr;;us_mta_lirr|38;25.6;19;26;54.7;86.3;100;45.3;0.4;0;5;REJETEE;identite non resolue , present 5 jours sur 6
Pays-Bas;nl_ovapi;Nijmegen Heyendaal;nl_ovapi|nijmegenheyendaal@51.83,5.87;63.2;18.8;70;66;96.8;98.9;33;1.8;0;5;REJETEE;present 5 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|342056;43;18.8;56;29.3;65.3;77.3;48;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|621790;40.8;18.8;54;62.7;90.7;97.3;34.7;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|595548;37.8;18.8;50;66.7;89.3;96;29.3;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Pays-Bas;nl_ovapi;Halfweg-Zwanenburg;nl_ovapi|halfwegzwanenburg@52.38,4.75;37;18.8;49;77.9;99.1;99.1;21.2;0.17;0;6;REJETEE;ponctualite 99 % > 98 %
Allemagne;de_gtfsde;;de_gtfsde|48525;35.5;18.8;47;84;92;94.7;10.7;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|158163;34.5;18.8;46;54.7;89.3;90.7;36;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|306854;33.8;18.8;44;56;93.3;98.7;42.7;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|576694;31;18.8;40;56;92;96;40;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|218283;30.3;18.8;38;45.3;92;96;50.7;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|52195;29.8;18.8;37;37.3;89.3;100;62.7;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Pays-Bas;nl_ovapi;Zuidhorn;nl_ovapi|zuidhorn@53.25,6.41;28.5;18.8;34;22.7;93.3;100;77.3;0;0;4;REJETEE;present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|327861;40.8;18.5;55;63.5;86.5;100;36.5;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|326982;38.8;18.5;52;58.1;77;93.2;35.1;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;Stift Keppel-Allenbach Bf;de_gtfsde|stiftkeppelallenbachbf@50.98,8.09;35.3;18.5;48;73;94.6;98.6;25.7;0;0;4;REJETEE;present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|85465;32.3;18.5;43;28.4;66.2;79.7;51.4;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|374203;31;18.5;40;28.4;81.1;91.9;63.5;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Pays-Bas;nl_ovapi;Zoetermeer Oost;nl_ovapi|zoetermeeroost@52.05,4.49;30.7;18.5;40;73.9;99.1;100;26.1;0;0;6;REJETEE;ponctualite 99 % > 98 %
Allemagne;de_gtfsde;;de_gtfsde|78758;23.3;18.5;20;52.7;86.5;95.9;43.2;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Pays-Bas;nl_ovapi;Bodegraven;nl_ovapi|bodegraven@52.08,4.75;29.8;18.4;38;79.3;95.7;96.7;17.4;0.2;0;5;REJETEE;present 5 jours sur 6
Etats-Unis;us_mta_lirr;;us_mta_lirr|135;24.8;18.4;26;28.3;78.3;100;71.7;0.4;0;5;REJETEE;identite non resolue , present 5 jours sur 6
Etats-Unis;us_mta_lirr;;us_mta_lirr|226;24;18.4;23;48.9;94.6;100;51.1;0.6;0;5;REJETEE;identite non resolue , present 5 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|640296;129.8;18.3;86;80.8;100;100;19.2;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6 , trop parfaite : aucun retard superieur a 5 min
Allemagne;de_gtfsde;;de_gtfsde|338772;68;18.3;73;78.1;95.9;98.6;20.5;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|287873;55.5;18.3;67;54.8;86.3;95.9;41.1;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|1544;38;18.3;52;16.4;58.9;84.9;68.5;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6 , ponctualite 59 % < 60 %
Allemagne;de_gtfsde;;de_gtfsde|555463;36.5;18.3;50;52.1;78.1;89;37;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|78865;35.8;18.3;49;32.9;63;80.8;47.9;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|664223;35.8;18.3;49;28.8;71.2;76.7;47.9;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|390803;35.3;18.3;48;27.4;56.2;72.6;45.2;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6 , ponctualite 56 % < 60 %
Allemagne;de_gtfsde;;de_gtfsde|389314;35;18.3;48;41.1;78.1;89;47.9;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|96964;34;18.3;46;61.6;90.4;95.9;34.2;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|547153;30.5;18.3;40;38.4;75.3;91.8;53.4;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|32222;28.3;18.3;35;16.4;74;89;72.6;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Etats-Unis;us_mta_mnr;;us_mta_mnr|51;51.2;18.2;64;35.8;81.7;96.3;60.6;0;0;6;REJETEE;identite non resolue
Allemagne;de_gtfsde;;de_gtfsde|69147;93;18;81;68.1;91.7;100;31.9;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|143346;58.5;18;69;100;100;100;0;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6 , trop parfaite : 100 % a moins de 60 s
Allemagne;de_gtfsde;Frankfurt (Main) Lokalbahnhof;de_gtfsde|frankfurtmainlokalbahnhof@50.10,8.69;40.3;18;55;62.5;77.8;95.8;33.3;0;0;4;REJETEE;present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|385105;32.5;18;45;15.3;62.5;83.3;68.1;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|177477;30;18;40;84.7;97.2;100;15.3;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Pays-Bas;nl_ovapi;Oisterwijk;nl_ovapi|oisterwijk@51.58,5.19;29.8;18;40;71.3;99.1;99.1;27.8;0;0;6;REJETEE;ponctualite 99 % > 98 %
Allemagne;de_gtfsde;;de_gtfsde|55611;28.3;18;36;48.6;81.9;93.1;44.4;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|471808;68.3;17.8;74;78.9;94.4;100;21.1;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|359108;37.8;17.8;53;59.2;77.5;91.5;32.4;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|422999;37.8;17.8;53;18.3;62;87.3;69;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|614272;35.5;17.8;50;56.3;94.4;100;43.7;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;Hörselgau;de_gtfsde|hrselgau@50.92,10.58;34.4;17.8;48;61.8;86.5;100;38.2;0;0;5;REJETEE;present 5 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|545919;32.3;17.8;45;15.5;67.6;83.1;67.6;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|64463;32.3;17.8;45;53.5;93;97.2;43.7;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|510439;30.3;17.8;41;71.8;90.1;95.8;23.9;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|616909;30;17.8;41;50.7;83.1;94.4;43.7;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Pays-Bas;nl_ovapi;Leiden Lammenschans;nl_ovapi|leidenlammenschans@52.15,4.49;30;17.8;41;76.4;98.9;98.9;22.5;0.2;0;5;REJETEE;present 5 jours sur 6 , ponctualite 99 % > 98 %
Allemagne;de_gtfsde;;de_gtfsde|455673;29.8;17.8;40;60.6;90.1;95.8;35.2;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|421108;29;17.8;39;77.5;94.4;97.2;19.7;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|140644;28.5;17.8;38;23.9;77.5;95.8;71.8;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
Allemagne;de_gtfsde;;de_gtfsde|266415;27.8;17.8;36;80.3;95.8;100;19.7;0;0;4;REJETEE;identite non resolue , present 4 jours sur 6
