pays;reseau;nom;cle;Nobs;echantillon;p60;p300;dispersion;famille;motif
Australie;au_translink_seq;Fairfield station;au_translink_seq|fairfieldstation@-27.51,153.03;27.2;163;28.8;87.7;66.3;A_QUALIFIER;
France;fr_sncf;Nancy;fr_sncf|UIC87141002;9.7;58;79.3;84.5;12.1;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|496321;38.3;153;37.3;74.5;54.9;A_QUALIFIER;
Australie;au_translink_seq;Bethania station;au_translink_seq|bethaniastation@-27.69,153.16;26.3;158;63.9;93;35.4;A_QUALIFIER;
Etats-Unis;us_mta_mnr;;us_mta_mnr|39;27.2;163;34.4;79.1;62;A_QUALIFIER;
Pays-Bas;nl_ovapi;Houten Castellum;nl_ovapi|houtencastellum@52.02,5.18;45.3;272;74.3;96.3;24.6;A_QUALIFIER;
Pays-Bas;nl_ovapi;Houten;nl_ovapi|houten@52.03,5.17;45.5;273;80.6;97.1;18.7;A_QUALIFIER;
Pays-Bas;nl_ovapi;Utrecht Lunetten;nl_ovapi|utrechtlunetten@52.07,5.14;44.7;268;78.4;97.4;20.9;A_QUALIFIER;
France;fr_sncf;Nice Riquier;fr_sncf|UIC87756353;8.4;42;52.4;83.3;38.1;A_QUALIFIER;
France;fr_sncf;Villefranche-sur-Mer;fr_sncf|UIC87756361;8.4;42;54.8;83.3;35.7;A_QUALIFIER;
France;fr_sncf;Beaulieu-sur-Mer;fr_sncf|UIC87756379;9.2;46;56.5;84.8;34.8;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|609404;31.3;125;48.8;70.4;36;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|34045;15.5;62;61.3;82.3;30.6;A_QUALIFIER;
France;fr_sncf;Paris Est;fr_sncf|UIC87113001;10.7;64;67.2;84.4;17.2;A_QUALIFIER;
Pays-Bas;nl_ovapi;Culemborg;nl_ovapi|culemborg@51.95,5.23;45.2;271;50.9;93;47.6;A_QUALIFIER;
France;fr_sncf;Èze;fr_sncf|UIC87756387;9.6;48;58.3;83.3;31.3;A_QUALIFIER;
France;fr_sncf;Cap-d'Ail;fr_sncf|UIC87756395;10;50;56;82;34;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|433874;31.5;126;74.6;96;23;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|96346;36.5;146;34.9;68.5;42.5;A_QUALIFIER;
Australie;au_translink_seq;Kingston station;au_translink_seq|kingstonstation@-27.66,153.12;27.3;164;72;92.7;26.8;A_QUALIFIER;
Etats-Unis;us_mta_mnr;;us_mta_mnr|137;27;162;47.5;80.9;43.2;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|501500;31.8;127;44.9;87.4;50.4;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|521176;24.5;98;55.1;90.8;41.8;A_QUALIFIER;
Australie;au_translink_seq;Salisbury station;au_translink_seq|salisburystation@-27.55,153.02;25.5;153;67.3;94.8;30.7;A_QUALIFIER;
Australie;au_translink_seq;Yeerongpilly station;au_translink_seq|yeerongpillystation@-27.53,153.01;28.2;169;31.4;90.5;65.1;A_QUALIFIER;
Etats-Unis;us_mta_mnr;;us_mta_mnr|136;27.5;165;48.5;81.8;42.4;A_QUALIFIER;
Australie;au_translink_seq;Banyo station;au_translink_seq|banyostation@-27.37,153.08;26.5;106;74.5;95.3;24.5;A_QUALIFIER;
Allemagne;de_gtfsde;Mirow;de_gtfsde|mirow@53.27,12.82;20.3;81;55.6;81.5;34.6;A_QUALIFIER;
Etats-Unis;us_mta_mnr;;us_mta_mnr|42;22.7;136;35.3;78.7;60.3;A_QUALIFIER;
Etats-Unis;us_mta_mnr;;us_mta_mnr|43;22.8;137;36.5;78.8;59.1;A_QUALIFIER;
Australie;au_translink_seq;Rocklea station;au_translink_seq|rockleastation@-27.54,153.01;26.2;157;68.2;93;29.9;A_QUALIFIER;
Australie;au_translink_seq;Bindha station;au_translink_seq|bindhastation@-27.38,153.07;26.3;105;70.5;94.3;28.6;A_QUALIFIER;
Australie;au_translink_seq;Nudgee station;au_translink_seq|nudgeestation@-27.37,153.08;29;116;76.7;94.8;22.4;A_QUALIFIER;
Australie;au_translink_seq;Boondall station;au_translink_seq|boondallstation@-27.35,153.07;29.3;117;72.6;94;25.6;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|614321;28.5;114;14;84.2;84.2;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|73835;17.3;69;55.1;84.1;40.6;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|236752;32.3;129;31;74.4;57.4;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|400053;27.8;111;66.7;91.9;30.6;A_QUALIFIER;
Pays-Bas;nl_ovapi;Amsterdam Science Park;nl_ovapi|amsterdamsciencepark@52.35,4.95;30.7;184;67.4;96.2;30.4;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|635309;9.5;38;68.4;86.8;26.3;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|47670;19.3;77;94.8;98.7;3.9;QUARANTAINE;ponctualite 98.7 %
Allemagne;de_gtfsde;;de_gtfsde|452920;28.5;114;25.4;69.3;65.8;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|591366;27;108;52.8;84.3;34.3;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|192011;29;116;84.5;99.1;14.7;EXCLUE;ponctualite 99.1 %
France;fr_sncf;Nîmes Centre;fr_sncf|UIC87775007;13.3;80;43.8;62.5;25;A_QUALIFIER;
Pays-Bas;nl_ovapi;Diemen;nl_ovapi|diemen@52.35,4.97;33.7;202;74.8;97.5;23.3;A_QUALIFIER;
Australie;au_translink_seq;North Boondall station;au_translink_seq|northboondallstation@-27.34,153.06;28.8;115;73.9;94.8;24.3;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|371091;33.8;135;37;76.3;55.6;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|157673;26.5;106;57.5;84.9;39.6;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|109338;28.5;114;25.4;57;56.1;A_QUALIFIER;
France;fr_sncf;Aix-les-Bains le Revard;fr_sncf|UIC87741132;9;54;53.7;72.2;29.6;A_QUALIFIER;
Etats-Unis;us_mta_mnr;;us_mta_mnr|37;26;156;35.3;79.5;60.3;A_QUALIFIER;
Australie;au_translink_seq;Deagon station;au_translink_seq|deagonstation@-27.33,153.06;26.8;107;78.5;92.5;19.6;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|500038;20.5;82;51.2;87.8;40.2;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|265432;21.8;87;39.1;74.7;50.6;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|654172;29.5;118;69.5;90.7;28;A_QUALIFIER;
Pays-Bas;nl_ovapi;Breukelen;nl_ovapi|breukelen@52.17,4.99;39.3;236;58.9;97;39.8;A_QUALIFIER;
Etats-Unis;us_mta_mnr;;us_mta_mnr|129;27.5;165;47.3;81.2;43;A_QUALIFIER;
Pays-Bas;nl_ovapi;Horst-Sevenum;nl_ovapi|horstsevenum@51.43,6.04;42;252;52.4;94;46;A_QUALIFIER;
Pays-Bas;nl_ovapi;De Vink;nl_ovapi|devink@52.15,4.46;33;198;83.8;96.5;14.6;A_QUALIFIER;
Etats-Unis;us_mta_mnr;;us_mta_mnr|155;9;54;25.9;75.9;63;A_QUALIFIER;
Etats-Unis;us_mta_mnr;;us_mta_mnr|157;6.7;40;27.5;80;62.5;A_QUALIFIER;
Australie;au_translink_seq;Sandgate station;au_translink_seq|sandgatestation@-27.32,153.07;24.8;99;76.8;93.9;21.2;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|604455;13;52;71.2;90.4;23.1;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|508916;23.5;94;31.9;70.2;55.3;A_QUALIFIER;
Pays-Bas;nl_ovapi;Schagen;nl_ovapi|schagen@52.79,4.81;41.3;248;48;96.8;50.8;A_QUALIFIER;
Etats-Unis;us_mta_mnr;;us_mta_mnr|51;18.2;109;35.8;81.7;60.6;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|583676;31.3;125;24.8;58.4;51.2;A_QUALIFIER;
Allemagne;de_gtfsde;Potsdam, Golm Bhf;de_gtfsde|potsdamgolmbhf@52.41,12.97;17.5;70;85.7;97.1;12.9;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|559328;24.5;98;58.2;76.5;34.7;A_QUALIFIER;
Allemagne;de_gtfsde;Hagsfeld Bahnhof;de_gtfsde|hagsfeldbahnhof@49.03,8.45;29.8;179;59.8;84.9;30.7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|211157;23.3;93;34.4;68.8;53.8;A_QUALIFIER;
Pays-Bas;nl_ovapi;Voorschoten;nl_ovapi|voorschoten@52.13,4.43;35.5;213;89.2;98.6;9.4;EXCLUE;ponctualite 98.6 %
Etats-Unis;us_mta_lirr;;us_mta_lirr|349;37.8;189;32.3;97.4;67.7;A_QUALIFIER;
Etats-Unis;us_mta_mnr;;us_mta_mnr|49;23.8;143;35;79;61.5;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|159307;26;104;52.9;81.7;39.4;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|452460;27.8;111;49.5;82.9;40.5;A_QUALIFIER;
Pays-Bas;nl_ovapi;Den Helder Zuid;nl_ovapi|denhelderzuid@52.93,4.76;37;222;72.5;96.4;24.3;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|223335;24.3;97;49.5;80.4;42.3;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|665253;19.3;77;42.9;62.3;42.9;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|255750;31.5;126;34.9;64.3;39.7;A_QUALIFIER;
France;fr_sncf;Sélestat;fr_sncf|UIC87214056;8.3;33;78.8;93.9;15.2;A_QUALIFIER;
Pays-Bas;nl_ovapi;Anna Paulowna;nl_ovapi|annapaulowna@52.87,4.81;39;234;67.5;97.4;30.8;A_QUALIFIER;
Pays-Bas;nl_ovapi;Best;nl_ovapi|best@51.51,5.39;35.3;212;78.8;98.6;20.8;EXCLUE;ponctualite 98.6 %
Pays-Bas;nl_ovapi;Eindhoven Strijp-S;nl_ovapi|eindhovenstrijps@51.45,5.46;31.2;187;79.7;98.9;19.8;EXCLUE;ponctualite 98.9 %
Allemagne;de_gtfsde;;de_gtfsde|649885;29.8;119;60.5;89.9;37;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|576465;24;96;78.1;93.8;16.7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|198666;19;76;53.9;85.5;38.2;A_QUALIFIER;
Allemagne;de_gtfsde;Düren;de_gtfsde|dren@50.81,6.48;22.5;135;46.7;76.3;43.7;A_QUALIFIER;
France;fr_sncf;Valence TGV Rhône-Alpes Sud;fr_sncf|UIC87763029;14.2;85;32.9;49.4;22.4;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|306343;16.5;66;71.2;93.9;27.3;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|552291;27.3;109;56;89;41.3;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|469417;25.8;103;44.7;80.6;43.7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|640485;21;84;46.4;79.8;42.9;A_QUALIFIER;
Pays-Bas;nl_ovapi;Boxtel;nl_ovapi|boxtel@51.59,5.32;31.5;189;79.4;97.4;19;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|417928;26;104;54.8;79.8;37.5;A_QUALIFIER;
France;fr_sncf;Avignon Centre;fr_sncf|UIC87765008;10.5;63;74.6;87.3;19;A_QUALIFIER;
Pays-Bas;nl_ovapi;Den Helder;nl_ovapi|denhelder@52.96,4.76;28.2;169;88.2;98.2;10.7;EXCLUE;ponctualite 98.2 %
Pays-Bas;nl_ovapi;Wierden;nl_ovapi|wierden@52.36,6.59;20.2;121;81.8;96.7;16.5;A_QUALIFIER;
France;fr_sncf;Metz;fr_sncf|UIC87192039;5;25;80;92;12;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|589564;20;80;68.8;93.8;26.2;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|180939;32;128;46.9;77.3;44.5;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|357257;19;76;76.3;94.7;22.4;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|478151;24.8;99;42.4;77.8;52.5;A_QUALIFIER;
France;fr_sncf;Valence Ville;fr_sncf|UIC87761007;14.8;89;56.2;67.4;18;A_QUALIFIER;
Allemagne;de_gtfsde;Böblingen;de_gtfsde|bblingen@48.69,9.00;19.6;98;68.4;92.9;27.6;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|523731;21.5;86;36;68.6;54.7;A_QUALIFIER;
France;fr_sncf;La Tour-du-Pin;fr_sncf|UIC87723478;11.7;70;55.7;71.4;22.9;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|213078;13.8;55;65.5;96.4;34.5;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|35846;30.5;122;29.5;64.8;53.3;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|159463;24.3;97;84.5;100;15.5;QUARANTAINE;aucun retard superieur a 5 min
Etats-Unis;us_mta_mnr;;us_mta_mnr|133;26;130;48.5;82.3;44.6;A_QUALIFIER;
France;fr_sncf;Bourgoin-Jallieu;fr_sncf|UIC87723429;12.3;74;54.1;73;24.3;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|255739;15.8;63;63.5;92.1;33.3;A_QUALIFIER;
France;fr_sncf;Versailles Chantiers;fr_sncf|UIC87393009;12.5;75;77.3;93.3;18.7;A_QUALIFIER;
Pays-Bas;nl_ovapi;Wormerveer;nl_ovapi|wormerveer@52.49,4.79;35.2;211;64.9;96.2;34.6;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|386789;21.5;86;48.8;81.4;40.7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|89764;22.3;89;92.1;100;7.9;QUARANTAINE;aucun retard superieur a 5 min
Allemagne;de_gtfsde;;de_gtfsde|125795;39;156;29.5;59;52.6;A_QUALIFIER;
France;fr_sncf;Toulouse Matabiau;fr_sncf|UIC87611004;10.5;63;66.7;74.6;11.1;A_QUALIFIER;
France;fr_sncf;Paris Austerlitz;fr_sncf|UIC87547000;12;72;76.4;81.9;9.7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|516504;19;76;47.4;80.3;43.4;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|577089;30.5;122;27.9;69.7;65.6;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|667386;31.8;127;33.1;84.3;63;A_QUALIFIER;
France;fr_sncf;Tours;fr_sncf|UIC87571000;9.5;57;84.2;91.2;7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|543897;20.8;83;49.4;75.9;33.7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|12971;25;100;33;70;58;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|462511;30.8;123;30.9;79.7;65;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|278984;32.8;131;31.3;80.9;65.6;A_QUALIFIER;
France;fr_sncf;Mulhouse;fr_sncf|UIC87182063;9.3;56;64.3;83.9;23.2;A_QUALIFIER;
Pays-Bas;nl_ovapi;Arnhem Velperpoort;nl_ovapi|arnhemvelperpoort@51.99,5.92;33.2;199;50.3;94;47.7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|61538;27.8;111;53.2;82;39.6;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|239819;26.8;107;53.3;80.4;37.4;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|182925;32.5;130;36.9;80;57.7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|659576;27;108;65.7;86.1;29.6;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|162085;24;96;78.1;100;21.9;QUARANTAINE;aucun retard superieur a 5 min
Allemagne;de_gtfsde;;de_gtfsde|248747;24;96;59.4;89.6;35.4;A_QUALIFIER;
Allemagne;de_gtfsde;Ahaus, Bahnhof;de_gtfsde|ahausbahnhof@52.08,7.02;14.2;71;63.4;93;33.8;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|449163;20;80;55;82.5;32.5;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|558952;19;76;75;97.4;23.7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|478867;23.8;95;29.5;69.5;51.6;A_QUALIFIER;
Allemagne;de_gtfsde;Karlsruhe Essenweinstraße;de_gtfsde|karlsruheessenweinstrae@49.01,8.43;35;140;60;87.1;28.6;A_QUALIFIER;
Allemagne;de_gtfsde;Meckenheim Lüftelberg Kottenforst Bf;de_gtfsde|meckenheimlftelbergkottenforstbf@50.66,7.02;22.3;89;74.2;100;25.8;QUARANTAINE;aucun retard superieur a 5 min
Allemagne;de_gtfsde;;de_gtfsde|583761;21.3;85;49.4;87.1;45.9;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|499477;26.3;105;57.1;88.6;37.1;A_QUALIFIER;
France;fr_sncf;Montpellier Saint-Roch;fr_sncf|UIC87773002;11.7;70;44.3;61.4;24.3;A_QUALIFIER;
France;fr_sncf;Angers Saint-Laud;fr_sncf|UIC87484006;7;42;54.8;71.4;23.8;A_QUALIFIER;
France;fr_sncf;Juan les Pins;fr_sncf|UIC87757666;8.3;50;54;86;34;A_QUALIFIER;
France;fr_sncf;Cagnes-sur-Mer;fr_sncf|UIC87756320;7.2;43;60.5;86;32.6;A_QUALIFIER;
France;fr_sncf;Saint-Laurent-du-Var;fr_sncf|UIC87756346;7.2;43;55.8;86;37.2;A_QUALIFIER;
France;fr_sncf;Nice Saint-Augustin;fr_sncf|UIC87756254;7.3;44;59.1;86.4;34.1;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|18667;30.8;123;29.3;66.7;56.9;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|255174;9.8;39;35.9;82.1;59;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|225933;23;92;81.5;100;18.5;QUARANTAINE;aucun retard superieur a 5 min
Allemagne;de_gtfsde;;de_gtfsde|349450;23;92;80.4;100;19.6;QUARANTAINE;aucun retard superieur a 5 min
France;fr_sncf;Genève Cornavin;fr_sncf|UIC85010082;6.7;40;87.5;90;7.5;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|238264;25.8;103;56.3;76.7;24.3;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|70959;20;80;12.5;58.8;73.8;A_QUALIFIER;
Pays-Bas;nl_ovapi;Heerenveen;nl_ovapi|heerenveen@52.96,5.92;33;198;48;91.4;48;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|647478;34;136;39;70.6;40.4;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|571564;21.5;86;82.6;100;17.4;QUARANTAINE;aucun retard superieur a 5 min
Pays-Bas;nl_ovapi;Steenwijk;nl_ovapi|steenwijk@52.79,6.12;33.7;202;63.4;90.1;32.7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|143210;30.3;121;34.7;74.4;59.5;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|137397;30.5;122;44.3;77;43.4;A_QUALIFIER;
Pays-Bas;nl_ovapi;Koog aan de Zaan;nl_ovapi|koogaandezaan@52.46,4.81;33.8;203;65.5;96.6;34.5;A_QUALIFIER;
Pays-Bas;nl_ovapi;Zaandijk Zaanse Schans;nl_ovapi|zaandijkzaanseschans@52.47,4.81;34.5;207;48.3;96.6;51.2;A_QUALIFIER;
Pays-Bas;nl_ovapi;Krommenie-Assendelft;nl_ovapi|krommenieassendelft@52.49,4.76;31.3;188;50.5;97.9;49.5;A_QUALIFIER;
Allemagne;de_gtfsde;Luckenwalde, Bahnhof;de_gtfsde|luckenwaldebahnhof@52.09,13.16;16.8;101;37.6;69.3;46.5;A_QUALIFIER;
Pays-Bas;nl_ovapi;Hollandsche Rading;nl_ovapi|hollandscherading@52.18,5.18;31.5;189;81.5;98.4;18.5;EXCLUE;ponctualite 98.4 %
Allemagne;de_gtfsde;;de_gtfsde|23981;21.3;85;65.9;94.1;30.6;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|216163;23.3;93;63.4;87.1;32.3;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|520269;23.3;93;58.1;89.2;36.6;A_QUALIFIER;
France;fr_sncf;Saint-Pierre-des-Corps;fr_sncf|UIC87571240;8;48;56.3;81.3;27.1;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|646128;24.5;98;84.7;98;14.3;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|8816;22.5;90;46.7;80;45.6;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|465955;26;104;66.3;95.2;30.8;A_QUALIFIER;
France;fr_sncf;Amiens;fr_sncf|UIC87313874;6.8;27;81.5;96.3;14.8;A_QUALIFIER;
France;fr_sncf;Menton;fr_sncf|UIC87756486;11.2;56;35.7;48.2;28.6;A_QUALIFIER;
Pays-Bas;nl_ovapi;Abcoude;nl_ovapi|abcoude@52.28,4.98;30.7;184;81;97.3;17.4;A_QUALIFIER;
Pays-Bas;nl_ovapi;Bovenkarspel-Grootebroek;nl_ovapi|bovenkarspelgrootebroek@52.70,5.24;27.8;167;86.2;97;12;A_QUALIFIER;
Pays-Bas;nl_ovapi;Hoogkarspel;nl_ovapi|hoogkarspel@52.69,5.18;30.7;184;79.9;96.2;16.8;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|609393;25.8;103;73.8;93.2;25.2;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|98988;22.5;90;32.2;80;63.3;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|150974;14.8;59;59.3;88.1;32.2;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|260908;24.5;98;67.3;91.8;30.6;A_QUALIFIER;
Pays-Bas;nl_ovapi;Brussel-Zuid;nl_ovapi|brusselzuid@50.83,4.34;5.5;33;100;100;0;QUARANTAINE;100 % des mouvements sous 60 s , aucun retard superieur a 5 min , dispersion 0.0 pt
Allemagne;de_gtfsde;;de_gtfsde|482051;22.8;91;38.5;80.2;57.1;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|260163;22.5;90;52.2;80;41.1;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|315593;27.5;110;80.9;99.1;19.1;EXCLUE;ponctualite 99.1 %
Allemagne;de_gtfsde;;de_gtfsde|422912;19.8;79;27.8;70.9;60.8;A_QUALIFIER;
France;fr_sncf;Carnoles;fr_sncf|UIC87756478;10.6;53;34;47.2;34;A_QUALIFIER;
France;fr_sncf;Roquebrune-Cap-Martin;fr_sncf|UIC87756460;11.4;57;31.6;45.6;45.6;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|224878;27;108;38;75.9;50;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|14212;11.8;47;83;95.7;14.9;A_QUALIFIER;
Pays-Bas;nl_ovapi;Enkhuizen;nl_ovapi|enkhuizen@52.70,5.29;24.5;147;89.8;97.3;9.5;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|175964;24;96;63.5;90.6;34.4;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|475391;28.8;115;40;64.3;44.3;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|342056;18.8;75;29.3;65.3;48;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|220292;25;100;30;51;47;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|541439;19.5;78;73.1;92.3;26.9;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|104025;20.5;82;53.7;81.7;35.4;A_QUALIFIER;
Pays-Bas;nl_ovapi;Bovenkarspel Flora;nl_ovapi|bovenkarspelflora@52.70,5.25;29.7;178;81.5;97.2;18;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|360551;23.8;95;50.5;76.8;43.2;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|282662;23.5;94;50;74.5;34;A_QUALIFIER;
France;fr_sncf;Molsheim;fr_sncf|UIC87214577;7;28;100;100;0;QUARANTAINE;100 % des mouvements sous 60 s , aucun retard superieur a 5 min , dispersion 0.0 pt
Allemagne;de_gtfsde;;de_gtfsde|495953;22.8;91;52.7;70.3;25.3;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|344780;25.8;103;72.8;90.3;25.2;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|320412;22.5;90;70;91.1;28.9;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|11928;34.3;137;26.3;41.6;35;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|70193;23.3;93;34.4;86;62.4;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|334806;22;88;48.9;75;39.8;A_QUALIFIER;
France;fr_sncf;Saint-Étienne Châteaucreux;fr_sncf|UIC87726000;8.5;51;86.3;96.1;11.8;A_QUALIFIER;
France;fr_sncf;Arras;fr_sncf|UIC87342014;7;28;67.9;89.3;32.1;A_QUALIFIER;
France;fr_sncf;Montmélian;fr_sncf|UIC87741181;9.2;55;43.6;69.1;32.7;A_QUALIFIER;
Pays-Bas;nl_ovapi;Venray;nl_ovapi|venray@51.53,6.01;29.8;179;56.4;95.5;41.3;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|390526;21.8;87;57.5;87.4;42.5;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|315362;23.8;95;65.3;92.6;33.7;A_QUALIFIER;
France;fr_sncf;Narbonne;fr_sncf|UIC87781104;10.2;61;47.5;68.9;26.2;A_QUALIFIER;
Etats-Unis;us_mta_lirr;;us_mta_lirr|27;20;100;51;87;45;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|480696;21;84;61.9;79.8;31;A_QUALIFIER;
Allemagne;de_gtfsde;Bad Vilbel Bahnhof;de_gtfsde|badvilbelbahnhof@50.19,8.74;18.2;109;67.9;89.9;27.5;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|559557;21.5;86;54.7;82.6;39.5;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|106869;20.3;81;58;81.5;35.8;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|57505;22.3;89;33.7;65.2;49.4;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|15618;24.5;98;89.8;100;10.2;QUARANTAINE;aucun retard superieur a 5 min
Allemagne;de_gtfsde;;de_gtfsde|466753;26.8;107;38.3;87.9;57;A_QUALIFIER;
Pays-Bas;nl_ovapi;Zandvoort aan Zee;nl_ovapi|zandvoortaanzee@52.38,4.53;17.5;105;87.6;99;12.4;EXCLUE;ponctualite 99.0 %
