pays;reseau;nom;cle;Nobs;echantillon;p60;p300;dispersion;famille;motif
Allemagne;de_gtfsde;;de_gtfsde|163501;10.8;43;23.3;55.8;55.8;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|273389;9.3;37;43.2;86.5;43.2;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|545463;14.8;59;89.8;100;10.2;QUARANTAINE;aucun retard superieur a 5 min
Allemagne;de_gtfsde;;de_gtfsde|166484;15.8;63;87.3;100;12.7;QUARANTAINE;aucun retard superieur a 5 min
Allemagne;de_gtfsde;;de_gtfsde|208846;13.3;53;90.6;100;9.4;QUARANTAINE;aucun retard superieur a 5 min
Allemagne;de_gtfsde;;de_gtfsde|486278;13.5;54;48.1;88.9;48.1;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|71375;13;52;38.5;86.5;57.7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|649510;11.3;45;64.4;86.7;33.3;A_QUALIFIER;
France;fr_sncf;Compiègne;fr_sncf|UIC87276691;3;12;75;83.3;16.7;A_QUALIFIER;
France;fr_sncf;Saint-Marcellin;fr_sncf|UIC87761718;5;25;44;60;16;A_QUALIFIER;
Pays-Bas;nl_ovapi;Winschoten;nl_ovapi|winschoten@53.14,7.03;10;50;78;98;22;A_QUALIFIER;
Allemagne;de_gtfsde;GLA West Bf;de_gtfsde|glawestbf@51.58,6.98;11;66;45.5;81.8;43.9;A_QUALIFIER;
France;fr_sncf;Saint-Antoine;fr_sncf|UIC87751826;2.5;15;73.3;86.7;13.3;A_QUALIFIER;
France;fr_sncf;Simiane;fr_sncf|UIC87751438;2.7;16;93.8;93.8;0;QUARANTAINE;dispersion 0.0 pt
France;fr_sncf;Gardanne;fr_sncf|UIC87751420;3;18;88.9;94.4;5.6;A_QUALIFIER;
Etats-Unis;us_mbta;Fairmount;us_mbta|fairmount@42.25,-71.12;12.8;77;100;100;0;EXCLUE;source rejetee en bloc
Allemagne;de_gtfsde;;de_gtfsde|226154;7.5;30;50;80;40;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|268460;14.8;59;42.4;72.9;44.1;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|99291;9.8;39;59;87.2;28.2;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|281484;10.3;41;61;92.7;31.7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|398442;13;52;55.8;86.5;34.6;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|8569;14;56;46.4;78.6;46.4;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|519560;13;52;46.2;76.9;46.2;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|358266;14;56;35.7;78.6;60.7;A_QUALIFIER;
Allemagne;de_gtfsde;Appenweier Bahnhof;de_gtfsde|appenweierbahnhof@48.54,7.97;12.8;64;46.9;81.3;42.2;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|314577;13.5;54;31.5;75.9;57.4;A_QUALIFIER;
France;fr_sncf;Givors Ville;fr_sncf|UIC87722405;4.3;26;61.5;88.5;26.9;A_QUALIFIER;
Pays-Bas;nl_ovapi;Scheemda;nl_ovapi|scheemda@53.17,6.98;11;55;58.2;98.2;41.8;QUARANTAINE;ponctualite 98.2 %
France;fr_sncf;Lyon Jean Macé;fr_sncf|UIC87282624;6.5;39;69.2;79.5;15.4;A_QUALIFIER;
France;fr_sncf;Laval;fr_sncf|UIC87478404;2.3;14;50;64.3;28.6;A_QUALIFIER;
Allemagne;de_gtfsde;Sluknov;de_gtfsde|sluknov@51.01,14.46;14.5;58;53.4;67.2;22.4;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|47738;8.5;34;55.9;82.4;26.5;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|98278;8;32;62.5;84.4;25;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|483914;9.3;37;62.2;91.9;29.7;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|340034;6.3;25;40;60;36;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|640002;12.3;49;22.4;71.4;71.4;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|191592;15.5;62;61.3;91.9;33.9;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|167508;14.8;59;66.1;94.9;30.5;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|279346;7.8;31;51.6;87.1;45.2;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|468628;10.3;41;53.7;68.3;17.1;A_QUALIFIER;
France;fr_sncf;Beauvais;fr_sncf|UIC87313510;3.5;14;92.9;100;7.1;QUARANTAINE;aucun retard superieur a 5 min
Pays-Bas;nl_ovapi;Maastricht Randwyck;nl_ovapi|maastrichtrandwyck@50.84,5.72;15;60;93.3;100;6.7;QUARANTAINE;aucun retard superieur a 5 min
Australie;au_translink_seq;Ascot station;au_translink_seq|ascotstation@-27.43,153.06;6.8;41;51.2;100;48.8;QUARANTAINE;aucun retard superieur a 5 min
France;fr_sncf;Rive-de-Gier;fr_sncf|UIC87726331;4.2;25;72;84;20;A_QUALIFIER;
France;fr_sncf;Saint-Chamond;fr_sncf|UIC87726307;3.8;23;69.6;82.6;17.4;A_QUALIFIER;
France;fr_sncf;Rumilly;fr_sncf|UIC87746149;4.7;28;50;71.4;28.6;A_QUALIFIER;
France;fr_sncf;Bourg-en-Bresse;fr_sncf|UIC87743005;3;15;53.3;86.7;46.7;A_QUALIFIER;
France;fr_sncf;Lorient;fr_sncf|UIC87476002;3.2;16;62.5;75;31.3;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|228502;10.8;43;58.1;79.1;30.2;A_QUALIFIER;
