pays;reseau;nom;cle;N;Nobs;fraicheur;p60;p300;p600;dispersion;cvVolume;cvBrut;amplitudePonct;effetWeekend;jours;annulJour;supprJour;verdict;motif
Allemagne;de_gtfsde;;de_gtfsde|219236;122.3;64.5;53;39.5;79.1;93;53.5;1.43;1.4;15;16;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 1.43)
Allemagne;de_gtfsde;;de_gtfsde|232735;119;64.5;54;91.1;98.8;99.2;8.1;1.07;1.04;5;7;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , ponctualite 98.8 % > 98 % , volume irregulier (CV 1.07)
Allemagne;de_gtfsde;;de_gtfsde|75763;100.8;64.5;64;36.8;67.1;86.4;49.6;1.24;1.17;38;15;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 1.24)
Allemagne;de_gtfsde;;de_gtfsde|65708;131.8;63.8;48;76.9;90.6;96.5;19.6;0.97;0.93;15;6;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 0.97)
Allemagne;de_gtfsde;;de_gtfsde|537557;151.3;63.5;42;52.4;83.1;92.9;40.6;0.91;0.83;11;5;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 0.91)
Pays-Bas;nl_ovapi;Heiloo;nl_ovapi|heiloo@52.60,4.70;78.3;63.2;81;57.5;95.3;97.1;39.6;0.44;0.4;8;170;6;0.17;0;REJETEE;volume irregulier (CV 0.44)
Allemagne;de_gtfsde;;de_gtfsde|28438;129.8;63;49;45.6;84.1;92.9;47.2;1.07;0.98;22;35;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 1.07)
Allemagne;de_gtfsde;;de_gtfsde|409909;65.8;63;96;96.4;100;100;3.6;0.9;0.85;0;7;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , trop parfaite (aucun retard > 5 min) , volume irregulier (CV 0.90)
Allemagne;de_gtfsde;;de_gtfsde|397209;135;62.3;46;35.3;61.4;77.9;42.6;1.21;1.12;34;21;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 1.21)
Allemagne;de_gtfsde;;de_gtfsde|234640;127.8;62;49;73;91.1;96.8;23.8;1;0.96;11;5;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 1.00)
Allemagne;de_gtfsde;;de_gtfsde|103274;113.8;62;55;52.4;82.7;92.7;40.3;1.08;1.01;43;9;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 1.08)
Pays-Bas;nl_ovapi;Diemen Zuid;nl_ovapi|diemenzuid@52.33,4.96;76;61.5;81;74;96.5;98.9;24.9;0.6;0.6;10;168;6;0;0;REJETEE;volume irregulier (CV 0.60)
Allemagne;de_gtfsde;;de_gtfsde|304647;130.5;61.3;47;71.8;89;95.9;24.1;0.98;0.94;15;6;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 0.98)
Allemagne;de_gtfsde;Friedewald  Haltepunkt;de_gtfsde|friedewaldhaltepunkt@51.13,13.65;130.3;61.3;47;70.6;89.4;96.7;26.1;0.98;0.94;13;5;4;0;0;REJETEE;presente 4/6 jours , volume irregulier (CV 0.98)
