pays;reseau;nom;cle;N;Nobs;fraicheur;p60;p300;p600;dispersion;cvVolume;cvBrut;amplitudePonct;effetWeekend;jours;annulJour;supprJour;verdict;motif
Australie;au_translink_seq;Kuraby station;au_translink_seq|kurabystation@-27.61,153.09;56.3;26.8;48;62.7;90.1;98.1;35.4;0.23;0.24;21;90;6;0;1;RETENUE;
Australie;au_translink_seq;Enoggera station;au_translink_seq|enoggerastation@-27.42,152.99;59.3;26.5;45;69.2;96.9;100;30.8;0.19;0.21;9;80;6;0;0;RETENUE;
Australie;au_translink_seq;Dutton Park station;au_translink_seq|duttonparkstation@-27.50,153.03;54.5;26.5;49;25.2;86.2;94.3;69.2;0.23;0.24;28;88;6;0;0.83;RETENUE;
Australie;au_translink_seq;Wilston station;au_translink_seq|wilstonstation@-27.44,153.02;60;26.3;44;69.6;96.2;100;30.4;0.2;0.21;11;80;6;0;0.17;RETENUE;
Australie;au_translink_seq;Richlands station;au_translink_seq|richlandsstation@-27.60,152.95;54.8;26.3;48;79.1;95.6;98.7;19.6;0.21;0.26;14;80;6;0;0;RETENUE;
Australie;au_translink_seq;Coopers Plains station;au_translink_seq|coopersplainsstation@-27.57,153.04;54.5;26.3;48;65.2;91.8;98.1;32.9;0.24;0.23;24;95;6;0;1;RETENUE;
Australie;au_translink_seq;Bethania station;au_translink_seq|bethaniastation@-27.69,153.16;54.2;26.3;49;63.9;93;99.4;35.4;0.24;0.22;19;104;6;0;1;RETENUE;
Australie;au_translink_seq;Rocklea station;au_translink_seq|rockleastation@-27.54,153.01;52.3;26.2;50;68.2;93;98.1;29.9;0.24;0.23;11;98;6;0;1;RETENUE;
Australie;au_translink_seq;Oxford Park station;au_translink_seq|oxfordparkstation@-27.40,152.97;57.5;26;45;64.7;96.2;100;35.3;0.2;0.22;10;89;6;0;0;RETENUE;
Australie;au_translink_seq;Alderley station;au_translink_seq|alderleystation@-27.42,153.00;60;25.8;43;65.2;95.5;100;34.8;0.2;0.23;9;78;6;0;0;RETENUE;
Australie;au_translink_seq;Trinder Park station;au_translink_seq|trinderparkstation@-27.63,153.10;55.5;25.7;46;67.5;92.2;98.7;31.2;0.23;0.24;12;91;6;0;1;RETENUE;
Australie;au_translink_seq;Gaythorne station;au_translink_seq|gaythornestation@-27.42,152.98;58.2;25.5;44;48.4;96.7;100;51.6;0.18;0.2;9;85;6;0;0;RETENUE;
Australie;au_translink_seq;Sunnybank station;au_translink_seq|sunnybankstation@-27.58,153.05;56.2;25.5;45;59.5;91.5;98;38.6;0.24;0.24;17;91;6;0;1;RETENUE;
Australie;au_translink_seq;Salisbury station;au_translink_seq|salisburystation@-27.55,153.02;52.7;25.5;48;67.3;94.8;98;30.7;0.26;0.24;11;98;6;0;1;RETENUE;
Australie;au_translink_seq;Grovely station;au_translink_seq|grovelystation@-27.40,152.96;58;25.3;44;63.8;95.4;100;36.2;0.21;0.22;10;88;6;0;0;RETENUE;
Australie;au_translink_seq;Banoon station;au_translink_seq|banoonstation@-27.58,153.05;57.7;25.3;44;52.6;90.8;98;45.4;0.24;0.23;17;87;6;0;1.5;RETENUE;
Australie;au_translink_seq;Holmview station;au_translink_seq|holmviewstation@-27.71,153.19;55.7;25.3;46;48;94.7;100;52;0.23;0.23;11;97;6;0;1;RETENUE;
Australie;au_translink_seq;Windsor station;au_translink_seq|windsorstation@-27.43,153.03;59.8;25.2;42;70.2;96;100;29.8;0.18;0.21;14;82;6;0;0.17;RETENUE;
Australie;au_translink_seq;Woodridge station;au_translink_seq|woodridgestation@-27.64,153.10;55.3;24.7;45;66.2;91.9;98.6;32.4;0.22;0.24;14;90;6;0;1;RETENUE;
Australie;au_translink_seq;Springfield station;au_translink_seq|springfieldstation@-27.66,152.92;54.5;24.7;45;81.1;98;98.6;17.6;0.21;0.26;17;78;6;0;0;RETENUE;
Australie;au_translink_seq;Mitchelton station;au_translink_seq|mitcheltonstation@-27.41,152.98;57.7;24;42;66;96.5;100;34;0.2;0.21;11;87;6;0;0;RETENUE;
Australie;au_translink_seq;Runcorn station;au_translink_seq|runcornstation@-27.59,153.07;55.2;24;44;66.7;90.3;97.9;31.3;0.23;0.24;27;93;6;0;1.17;RETENUE;
Australie;au_translink_seq;Fruitgrove station;au_translink_seq|fruitgrovestation@-27.60,153.08;55.8;21.8;39;60.3;93.1;96.9;36.6;0.23;0.23;10;90;6;0;0.83;RETENUE;
Australie;au_translink_seq;Ferny Grove station;au_translink_seq|fernygrovestation@-27.40,152.94;67;21.7;32;60.8;96.2;100;39.2;0.23;0.26;11;67;6;0;0;RETENUE;
Australie;au_translink_seq;Edens Landing station;au_translink_seq|edenslandingstation@-27.70,153.17;55.7;21.3;38;31.3;91.4;99.2;68;0.24;0.24;24;98;6;0;1;RETENUE;
Australie;au_translink_seq;Glass House Mountains station;au_translink_seq|glasshousemountainsstation@-26.90,152.96;25.2;18.7;74;19.6;78.6;98.2;78.6;0.27;0.23;32;80;6;0.17;0.17;RETENUE;
Australie;au_translink_seq;Beerwah station;au_translink_seq|beerwahstation@-26.86,152.96;25;18.7;75;33;88.4;99.1;66.1;0.26;0.24;27;73;6;0;0;RETENUE;
Australie;au_translink_seq;Beerburrum station;au_translink_seq|beerburrumstation@-26.96,152.96;25;18.5;74;30.6;83.8;98.2;67.6;0.26;0.24;24;70;6;0;0;RETENUE;
Australie;au_translink_seq;Elimbah station;au_translink_seq|elimbahstation@-27.01,152.95;24.7;17.7;72;37.7;88.7;98.1;60.4;0.26;0.25;29;72;6;0;0;RETENUE;
Australie;au_translink_seq;Landsborough station;au_translink_seq|landsboroughstation@-26.81,152.97;24.7;16.7;68;28;88;98;70;0.27;0.25;28;74;6;0;0;RETENUE;
Australie;au_translink_seq;Nambour station;au_translink_seq|nambourstation@-26.63,152.96;33.5;15.8;47;69.5;90.5;97.9;28.4;0.16;0.17;31;81;6;0.17;0.33;RETENUE;
Australie;au_translink_seq;Eudlo station;au_translink_seq|eudlostation@-26.73,152.96;24.7;15.5;63;24.7;86;96.8;72;0.15;0.26;18;72;6;0;0.17;RETENUE;
Australie;au_translink_seq;Palmwoods station;au_translink_seq|palmwoodsstation@-26.69,152.96;24.5;15.3;63;17.4;89.1;96.7;79.3;0.15;0.25;24;72;6;0;0.17;RETENUE;
Australie;au_translink_seq;Woombye station;au_translink_seq|woombyestation@-26.66,152.96;24.5;15.3;63;68.5;91.3;97.8;29.3;0.15;0.25;25;72;6;0;0.17;RETENUE;
Australie;au_translink_seq;Mooloolah station;au_translink_seq|mooloolahstation@-26.77,152.96;24.7;15;61;31.1;90;97.8;66.7;0.29;0.25;29;74;6;0;0.17;RETENUE;
